address,malware,start
15MHczWfcYxf3P3NwYqCthaNiieGP8RY9d,jigsaw,2016-03-14
3NQoq5MVPfEMw12gB4a2c1G61mRZyMymsB,jigsaw,2016-03-14
12vfQqmMxiDvZdzYHndfURupmcjjs8uSpY,jigsaw,2016-03-14
1FLjcTFpz9MhwLdZ4xm9onpAnUGfRbGdXg,jigsaw,2016-03-14
1Cj37Tw5uHwfye6Srd1zHzSMhUekp3jM63,jigsaw,2016-03-14
1Q5B5udzDLpNJbpedGpyGMLVU5DR5dTqx6,jigsaw,2016-03-14
13VEVaJUMdJyQ7ttPfBaVNKjj2dS9ahU1z,jigsaw,2016-03-14
1HxkJ3vz2tvpcHgdt9yyY4XivdY9jKkcZH,jigsaw,2016-03-14
1LBhCecBmT23hybSUYyFW1YYqtTJcvFui2,jigsaw,2016-03-14
1H8BXLJsLk9YCoNeBahYbgWo5ZqEn752ey,jigsaw,2016-03-14
1L9GdBW65Rt6e8UY69bnWNWomsppFFFR2X,jigsaw,2016-03-14
1ESe1nekuFJcEWycb1JjCz9KneNEm8yjg3,jigsaw,2016-03-14
1EVNFaX7HktW1ud6fPueoMJ2Xw4UfYGY5Y,jigsaw,2016-03-14
1CcAYfsKNNFPq7AKkbKQzRKw2kqjrqUeN9,jigsaw,2016-03-14
18jCCAR2QZf6uZTnu4769ZknPfXjbmh1mw,jigsaw,2016-03-14
1EH3yoQciVcWUufa4NWJvftyvvFxjbFLtQ,jigsaw,2016-03-14
1F5RJzWN1g38wD9XbcspcxaYDU5hKpdvm8,jigsaw,2016-03-14
17XajwHHeWbfKfNwn57sHRMAEXxvQUUGNd,zcryptor,2016-05-24
16jvWspVfvhjRgJhGCDETf29cjQAyNmx9G,venuslocker,2016-08-01
1JKVwmeokitMHAFxCUeC4yrd8pdWxDAjZW,venuslocker,2016-08-01
1Dj9YnMiciNgaKuyzKynygu7nB21tvV6QD,venuslocker,2016-08-01
1N82pq3XovKoJYqUmTrRiXftpNHZyu4jyv,the trump locker,2016-08-01
19fhNi9L2aYXTaTFWueRhJYGsGDaN6WGcP,the lltp locker,2016-08-01
1Q94RXqr5WzyNh9Jn3YLDGeBoJhxJBigcF,killdisk,2015-01-01
1EZrvz1kL7SqfemkH3P1VMtomYZbfhznkb,findzip,2017-02-22
18yfx86BwNK5xYKw71uaHwAxPgCGRJaqgg,thundercrypt,2017-05-01
1HFY12o56xbHer3oeNxC99A7SGyXaR64hs,thundercrypt,2017-05-01
18KfMJBTDWUUa1h4tm58swbkvsgHNZ6d2g,thundercrypt,2017-05-01
1CvcvetHZ81V8itkDtF8iRpLfPp7Zz8UER,doublelocker,2017-10-13
1HxKouDDK9WbkizMEnf23tftHSefWhUyXR,doublelocker,2017-10-13
1GxXGMoz7HAVwRDZd7ezkKipY4DHLUqzmM,bad rabbit,2017-10-24
17GhezAiRhgB8DGArZXBkrZBFTGCC9SQ2Z,bad rabbit,2017-10-24
