,address_value,first_block_time,first_block_height,last_block_time,last_block_height,life_time
0,1ApJKS4dbni9qZf3gPjZ7UzYHQzHi6MYQ7,2015-06-22 03:48:46,361978,2015-11-25 23:52:05,385344,156 days 20:03:19.000000000
1,1QBL4f71Pt2X8ED2h5kqPzFW79VfLf7LQ,2015-06-22 13:43:46,362036,2015-11-15 11:55:41,383667,145 days 22:11:55.000000000
2,1EmGx3riin7x7wrtpdGdFE2rd4egJbzFcm,2015-06-22 21:04:17,362083,2015-12-23 22:42:41,389881,184 days 01:38:24.000000000
3,1CbnpLedr7WK4sNP2ZYV8p5uNGgbmiWZ2J,2015-06-22 22:31:04,362093,2015-11-05 18:33:22,382200,135 days 20:02:18.000000000
4,13rkYNH9wwzN5DmaUPaiW5FosFRwBBxw28,2015-06-22 23:20:30,362100,2015-10-15 18:28:19,379050,114 days 19:07:49.000000000
5,16u9vsno9KyMxyb6sF5rY4jGdseuywCZ8X,2015-06-23 00:19:17,362108,2015-11-25 22:30:57,385340,155 days 22:11:40.000000000
6,1Hqo6JamqH7DZ9ehDfQGu2ZpbrJr93Nh5r,2015-06-23 01:53:30,362118,2015-11-28 20:42:40,385783,158 days 18:49:10.000000000
7,1NsyVQP6aGHAJkzRKDU9EDEUV13nKTL2EL,2015-06-23 05:12:47,362139,2015-11-23 12:01:00,384964,153 days 06:48:13.000000000
8,15VLNcbohAKUqNQL9fM7kLdmNkZJnaR7EH,2015-06-23 10:28:48,362158,2015-11-15 11:55:41,383667,145 days 01:26:53.000000000
9,1QGwMTrtrzQz7WTxuWh1amZihWDfPJsr3o,2015-06-23 13:52:06,362176,2015-11-15 11:55:41,383667,144 days 22:03:35.000000000
10,15megFkB8hM87TfSb5REza1VWom39JJZu3,2015-06-23 14:28:54,362178,2015-12-23 23:02:22,389882,183 days 08:33:28.000000000
11,1UhKZ4E1D8VmKsJPaNpAd3CRHQ7aeDYC9,2015-06-23 14:40:17,362179,2015-11-25 22:30:57,385340,155 days 07:50:40.000000000
12,18zeKjeriLnwYFY4Uwo32sffDbw1GEkTYv,2015-06-23 15:00:05,362182,2015-11-28 20:42:40,385783,158 days 05:42:35.000000000
13,1EzxgmkseXmGoEKFLxMhJHtH4UWfLGJ7WX,2015-06-23 15:23:36,362183,2015-12-06 15:54:33,387022,166 days 00:30:57.000000000
14,1J4DKQ9Jo3TgmY3A4TUqYTvS6STXmwXayz,2015-06-23 21:00:08,362229,2015-11-25 23:52:05,385344,155 days 02:51:57.000000000
15,15juvoqjNzHsdwVuNK8hRf333XCpBEhUX3,2015-06-23 21:56:45,362233,2015-11-25 23:52:05,385344,155 days 01:55:20.000000000
16,1B3G6H97CoUGrZSpG3cbao7WT7LEK79mBa,2015-06-23 22:49:12,362239,2015-11-23 12:01:00,384964,152 days 13:11:48.000000000
