,address_value,first_block_time,first_block_height,last_block_time,last_block_height,life_time
0,1DDPoA3rnXtHtp71v3KAtd53pdRTmskxrK,2014-04-29 19:56:05,298343,2014-08-05 19:53:13,314118,97 days 23:57:08.000000000
1,16N3jvnF7UhRh74TMmtwxpLX6zPQKPbEbh,2014-06-04 20:01:06,304256,2014-10-15 11:30:32,325425,132 days 15:29:26.000000000
2,1CbrsvwrS7fSSbxMhF8cZnk2huBs89VWu1,2014-07-23 18:28:52,312149,2014-08-05 19:53:13,314118,13 days 01:24:21.000000000
3,14ytdF3C9VRbttMfh9J56yR9ZWqfmFbBWN,2014-08-06 15:17:19,314242,2014-08-30 21:16:42,318317,24 days 05:59:23.000000000
4,13BeAzA4mhwDYJEwhqNd2LsUnuhuVqKvw8,2014-08-18 18:51:32,316304,2014-08-30 21:16:42,318317,12 days 02:25:10.000000000
5,177avVGBEXMcoiHaoQoYj2dn8FVouvPxLd,2014-09-16 21:48:24,321043,2014-10-15 11:30:32,325425,28 days 13:42:08.000000000
6,19F9tDAKVUKGcDc8SccxL6Fi5Du96JqDzX,2014-09-30 06:31:32,323151,2014-10-15 11:30:32,325425,15 days 04:59:00.000000000
