,address_value,first_block_time,first_block_height,last_block_time,last_block_height,life_time
0,17YorpBPuymQkbNkFXZTEyuDima3QGTgoV,2015-02-06 02:19:47,342167,2015-03-03 18:18:56,346025,25 days 15:59:09.000000000
1,17dQHGfeSuKWxGBLBQJassoyzFJqagrLp,2015-02-06 21:36:39,342309,2015-03-23 20:27:57,348888,44 days 22:51:18.000000000
2,1FsRc4YJ8LRnEgTqoFsY2GHjEN6FzwsaZU,2015-02-06 22:37:04,342315,2015-03-24 00:49:15,348922,45 days 02:12:11.000000000
3,1JHNa2KTdWvrS4WeEvNiGJFBK39NVXoy6,2015-02-06 23:39:06,342321,2015-02-10 20:44:41,342903,3 days 21:05:35.000000000
4,15THHBEW6PmEJe1bnQKLbucQpF5kJy41pq,2015-02-07 00:49:35,342333,2015-02-10 20:44:41,342903,3 days 19:55:06.000000000
5,1KRYLx4jxnCDtLnBnTaTaFwbALpSvhyWco,2015-02-07 01:23:07,342335,2015-02-10 20:44:41,342903,3 days 19:21:34.000000000
6,15ctYNeCe8p4wjXq7bvL2sCXY1KqXBd63T,2015-02-07 03:28:28,342344,2015-03-15 18:36:17,347754,36 days 15:07:49.000000000
7,1LvanJh397AwPH8n9dDKV8Ud4Q2h2sVCG,2015-02-07 04:43:34,342352,2015-02-11 12:33:11,343002,4 days 07:49:37.000000000
8,19KPUjPhfSYRdCXLLiZRc23V8JW2ZVEqy8,2015-02-07 10:36:04,342395,2015-03-27 18:38:55,349535,48 days 08:02:51.000000000
9,1CksBPF3cZugba1WsmvkiDJ3V7MFknqR2Y,2015-02-07 14:57:29,342427,2015-02-10 20:44:41,342903,3 days 05:47:12.000000000
10,15PJZoaMxjoTNfPdvwNKPGy4v1zb5fy2ar,2015-02-07 16:38:10,342439,2015-03-23 20:27:57,348888,44 days 03:49:47.000000000
11,1G7oZBj2wq7bS1uk5mw3exLqLKmRphKyai,2015-02-07 17:43:03,342449,2015-02-10 20:44:41,342903,3 days 03:01:38.000000000
12,1SF7Aoz5m2dpPyE6QsFbWHRYXfkf8BAUz,2015-02-07 18:48:48,342459,2015-02-14 15:44:47,343458,6 days 20:55:59.000000000
13,1HQYmCiAAaF8w5DmzQ86pW6HktXjbNvp2W,2015-02-07 19:08:09,342460,2015-03-05 12:07:06,346269,25 days 16:58:57.000000000
14,17MWRzDq7FyfFbQu54ZsaUDyS8HP9nYLMW,2015-02-07 20:40:06,342464,2015-02-12 13:43:53,343153,4 days 17:03:47.000000000
15,1Nf9KmFuwKA621HUnS8XtxEoz4pKw6MFry,2015-02-07 21:29:22,342472,2015-03-11 23:00:56,347229,32 days 01:31:34.000000000
16,15nERN7N6aFX2WzB6LpRGMnZWo1BoEbX3v,2015-02-08 01:06:08,342494,2015-03-23 20:27:57,348888,43 days 19:21:49.000000000
17,1CAZs3MtcszQtrd5KTf8VNgsNWLkNH5LBL,2015-02-08 01:21:32,342495,2015-02-10 20:44:41,342903,2 days 19:23:09.000000000
18,1AsrM24LWmaRmL5tQjrhawYN9oSLHmEe2P,2015-02-08 01:21:32,342495,2015-02-10 20:49:18,342904,2 days 19:27:46.000000000
19,1ERMb84pK6mvuQPFwyD3UkCUwSdifpeV9D,2015-02-08 02:55:57,342499,2015-02-10 20:44:41,342903,2 days 17:48:44.000000000
20,15JRNKnHDub6puuYsJX77HEYQGzdY9nRgs,2015-02-08 20:31:56,342595,2015-02-10 20:44:41,342903,2 days 00:12:45.000000000
21,16XYC2pJonaED8a76CN7i8MKCovX8gx4WW,2015-02-09 02:21:11,342632,2015-02-10 20:44:41,342903,1 days 18:23:30.000000000
22,1PqwnY7xhN5GmbRszT7v217zwcNxtRscRi,2015-02-09 16:34:37,342725,2015-02-10 20:44:41,342903,1 days 04:10:04.000000000
23,12Nfm6c3JA1wvdggREAvFrjRjG4fct96VH,2015-02-09 18:39:06,342738,2015-02-10 20:49:18,342904,1 days 02:10:12.000000000
24,1GLbArQY2Az8sZZoZjigrRqUL3KgjbA23n,2015-02-09 21:27:50,342757,2015-02-27 11:26:35,345380,17 days 13:58:45.000000000
