,address_value,first_block_time,first_block_height,last_block_time,last_block_height,life_time
0,17QqTQk1GKMU2CuDHYBjvcCKcFzWTsvLzD,2014-10-22 16:10:45,326488,2014-10-24 19:00:08,326813,2 days 02:49:23.000000000
1,1TifpG8S3LJTGDU9C5k9GbuYXza3DQohf,2014-10-22 17:43:55,326499,2014-10-23 15:01:28,326628,0 days 21:17:33.000000000
2,1EiGZ5gBCYpJDPzcqyFois3gPNSXKT7jrt,2014-10-22 17:43:55,326499,2014-10-23 16:15:10,326640,0 days 22:31:15.000000000
3,1NZBme7eTYYd27bJaCarLkcjWUJSb6Uhoz,2014-10-22 20:28:39,326517,2014-10-23 15:01:28,326628,0 days 18:32:49.000000000
4,1255ZtL5HXVNugwsxUvbSJSLUe2JDWLVmA,2014-10-22 20:43:24,326519,2014-10-23 15:01:28,326628,0 days 18:18:04.000000000
5,1Dip1BUWcLFbpa4v6UVM7stfiq9GrTztor,2014-10-22 20:53:06,326520,2014-10-23 21:01:59,326670,1 days 00:08:53.000000000
6,12WW3RcXZ8rvGc9EyhZAgRcVQEUZBYR8o6,2014-10-22 21:56:57,326526,2014-10-24 19:01:21,326814,1 days 21:04:24.000000000
7,12oTuPZVabXXdyHAC7XG3vtgz61vtykaPB,2014-10-22 21:56:57,326526,2014-10-30 11:32:05,327657,7 days 13:35:08.000000000
8,1Fn58MQNj23k2NUcZydCfhNUwzjbmGnK9a,2014-10-22 22:51:40,326532,2014-10-30 14:12:42,327684,7 days 15:21:02.000000000
9,1BiVJbHQnAv7gnK6jjgx5inscEGYinzdRD,2014-10-22 23:00:20,326534,2014-10-23 15:01:28,326628,0 days 16:01:08.000000000
10,1ELAQv2DQqApozVVzP4UhpNgAKFFRBAXLP,2014-10-22 23:18:12,326535,2014-10-30 12:53:56,327672,7 days 13:35:44.000000000
11,1GqE8msa63edwhF96EszPozVGR9fuwPGDb,2014-10-22 23:47:07,326537,2014-11-05 19:32:44,328705,13 days 19:45:37.000000000
12,1BZMBivN1AL9DWQCdEnmviSKiMpnicTTBK,2014-10-23 01:50:33,326548,2014-11-05 19:32:44,328705,13 days 17:42:11.000000000
13,15MSrtpUkb9jBrr22ZXetrgDiynvLeHNDh,2014-10-23 01:50:33,326548,2014-10-30 12:53:56,327672,7 days 11:03:23.000000000
14,14obpFxKhyj1XtRSJvyQ59x4JRwqvqCrJR,2014-10-23 06:23:14,326576,2014-10-23 15:01:28,326628,0 days 08:38:14.000000000
15,1LsxkDcoK9MdD59o5rMw1dgDpGN8QoNbPp,2014-10-23 06:43:39,326579,2014-10-31 00:29:50,327752,7 days 17:46:11.000000000
16,1LNfzXzGuXiZK5iZb3Qvn22QfLBHgEfikN,2014-10-23 13:58:49,326617,2014-10-23 15:01:28,326628,0 days 01:02:39.000000000
17,17Akvqrmria6v1gBPse3N1cNKKS8hHNm92,2014-10-23 14:39:05,326626,2014-10-30 12:53:56,327672,6 days 22:14:51.000000000
18,12eFznMy8aoCS76mqkCmxce1CLSpAkF9bq,2014-10-23 15:01:28,326628,2015-01-12 15:52:21,338674,81 days 00:50:53.000000000
19,1AkNkGDVk4N9cvrQrUXzZGVeX3fi1GDAnn,2014-10-23 15:54:33,326635,2014-11-16 11:51:12,330262,23 days 19:56:39.000000000
20,1hBGyAMPci57kjMRuHtTiiEiyMPPbkNog,2014-10-23 18:49:57,326651,2014-10-24 19:01:21,326814,1 days 00:11:24.000000000
21,128pJdREzcR6xorYPQAPzGf8RwMQjRBzDt,2014-10-23 19:30:16,326659,2014-10-23 21:01:59,326670,0 days 01:31:43.000000000
22,1MViQ9sSrDi1REwbzttPjz8UwDwWRcrBa5,2014-10-23 19:57:25,326663,2014-11-08 18:43:06,329147,15 days 22:45:41.000000000
23,1P9dhkjAU4jPcW8iE5Uq3kj2W2A6oQc6mK,2014-10-23 21:22:43,326673,2015-01-12 15:52:21,338674,80 days 18:29:38.000000000
24,186Qu4CHMMEMcRFhxvujCvAKD3vx6ziUZi,2014-10-23 22:18:26,326678,2014-10-30 14:12:42,327684,6 days 15:54:16.000000000
25,1Q1BhkHTyZBSJYs4jU5BEL5mKqzmxKqdUb,2014-10-23 23:48:42,326686,2014-10-24 19:00:08,326813,0 days 19:11:26.000000000
26,15VdJ1x7mrvydpverBoM52uK32zthEgx3W,2014-10-24 00:43:46,326695,2014-11-14 13:39:55,329980,21 days 12:56:09.000000000
27,1BaVeW1MDm5Z7krsNYRocGPqoPtvVgeFcC,2014-10-24 01:32:54,326698,2014-10-24 19:00:08,326813,0 days 17:27:14.000000000
28,1BRaWwcyNVx1Mzs36Xthu85xdo8DZwbWrd,2014-10-24 02:31:10,326706,2014-10-24 19:00:08,326813,0 days 16:28:58.000000000
29,16V3i18DPUtJG5Kp5GHjCDjaUG4qjByqeD,2014-10-24 05:28:25,326734,2014-10-30 14:12:42,327684,6 days 08:44:17.000000000
30,17okEyiGjTiqRkmxoFQRJt98BdYcXF1JeA,2014-10-24 10:06:53,326757,2014-10-30 11:32:05,327657,6 days 01:25:12.000000000
31,1GEoemCD9LURzv4fqiARDiCuwb2n3sYjYP,2014-10-24 11:22:09,326768,2014-10-30 11:32:05,327657,6 days 00:09:56.000000000
32,1MbTd6iEqyrCAKZGvwR2QkAPMKXZ3727Hv,2014-10-24 14:16:05,326787,2014-11-14 13:39:55,329980,20 days 23:23:50.000000000
33,15uMyfPokMN1BQUjvdPAcP5afCv5zGBfGv,2014-10-24 14:23:02,326788,2014-10-24 19:01:21,326814,0 days 04:38:19.000000000
34,19tH6f9UeLR64GfqcxwDUrGQVXXA7bg7LY,2014-10-24 15:02:24,326792,2014-10-31 22:18:57,327924,7 days 07:16:33.000000000
35,1HkzycvwurGTfYe99qYq55uN9HzocMYysg,2014-10-24 15:45:06,326795,2014-10-24 19:01:21,326814,0 days 03:16:15.000000000
