,address_value,first_block_time,first_block_height,last_block_time,last_block_height,life_time
0,1HXQ5fs6PNhSuQurU7Ccy9HCRnULs1aa2v,2016-03-28 21:14:46,404724,2016-04-21 21:23:48,408353,24 days 00:09:02.000000000
1,1L9GdBW65Rt6e8UY69bnWNWomsppFFFR2X,2016-03-29 06:46:06,404793,2016-04-08 19:46:27,406343,10 days 13:00:21.000000000
2,1PNtiiaMxt9mKdU7p6Vk1avRe6m1R5X6no,2016-04-07 20:07:15,406203,2016-04-07 20:43:37,406210,0 days 00:36:22.000000000
3,14chaM1u9FY7MLZX4y5zAWRguBH7rYhni8,2016-04-07 20:27:29,406208,2016-04-08 04:29:01,406257,0 days 08:01:32.000000000
4,18hxbo2Rcp7zmWNsVryFrfZiLGajByWSG1,2016-04-08 03:59:29,406254,2016-04-08 16:24:22,406325,0 days 12:24:53.000000000
5,13VEVaJUMdJyQ7ttPfBaVNKjj2dS9ahU1z,2016-04-08 05:00:52,406260,2016-04-08 14:27:42,406315,0 days 09:26:50.000000000
6,1Q5B5udzDLpNJbpedGpyGMLVU5DR5dTqx6,2016-04-08 14:52:14,406318,2016-04-08 18:11:56,406336,0 days 03:19:42.000000000
