,address_value,first_block_time,first_block_height,last_block_time,last_block_height,life_time
0,1H65LEob4y3maookAW1WqqpHs948ugm1RG,2015-03-31 11:57:06,350088,2015-09-12 13:51:09,374192,165 days 01:54:03.000000000
1,1Q9K34Ns5VcYDCJ7mSNMm6wgbGyT1LxRUv,2015-03-31 18:36:58,350126,2015-12-15 20:53:17,388599,259 days 02:16:19.000000000
2,1CfGBvCnXvRm8n3vM59AScxc9nkqRyLwGA,2015-04-01 11:23:37,350218,2015-09-12 13:51:09,374192,164 days 02:27:32.000000000
3,1G4Tt1MLdFqUgRMXkCZJUY866S9nusSd9K,2015-04-01 13:52:37,350230,2015-08-13 23:27:30,369758,134 days 09:34:53.000000000
4,1A7aHB7ndZy2ufyuQe2Ybn27HKeL8VBSsW,2015-04-01 17:12:16,350257,2015-10-30 20:10:59,381290,212 days 02:58:43.000000000
5,1KsnG5vE1un61tcZTpyuRCpmXyqwNxHP1i,2015-04-01 20:00:51,350276,2015-10-30 20:10:59,381290,212 days 00:10:08.000000000
6,1EYFWyPoE7QvWRQnwKgs3XfqtBeUw63TBn,2015-04-02 12:48:04,350377,2015-12-15 20:53:17,388599,257 days 08:05:13.000000000
7,14AphzahKf3iiqzC6JfTWs4JZenjYkqcqL,2015-04-03 10:35:31,350522,2015-11-26 16:07:16,385460,237 days 05:31:45.000000000
8,1CwHdpUdgAf1sLk4czA66zChSSDPBnsqsp,2015-04-03 18:25:30,350565,2015-09-23 09:57:37,375752,172 days 15:32:07.000000000
9,1KS2L1Ap1uBzHy5nzkuh2xEmV6GpVyUefT,2015-04-04 15:54:16,350702,2015-09-12 13:51:09,374192,160 days 21:56:53.000000000
10,17aAyvQmrpThLZH5txCVEKSnwMdzHevFqm,2015-04-05 01:24:20,350765,2015-09-12 13:51:09,374192,160 days 12:26:49.000000000
11,1DdDzpy9VYvwGqTXZkqbb5fgHak6LTPbML,2015-04-08 12:12:52,351240,2015-11-09 13:12:01,382745,215 days 00:59:09.000000000
12,194gwCJv5LwvfJjgr9mPWweebQA4Lh6PkV,2015-04-08 19:55:15,351286,2015-11-26 16:07:16,385460,231 days 20:12:01.000000000
13,1KDE3wKsPDGYMGEYcM7HGmDk3v3UiC3XLS,2015-04-09 09:01:49,351363,2015-09-28 18:51:17,376550,172 days 09:49:28.000000000
14,17fkggRNAc1cKraeXi165dAYdsjpMNh2Gp,2015-04-10 16:23:18,351547,2015-09-12 13:51:09,374192,154 days 21:27:51.000000000
15,1AKjYMxo2hJCzkhunTuT986aTLHP2PSEfK,2015-04-10 17:03:40,351551,2015-09-30 11:12:52,376830,172 days 18:09:12.000000000
16,1BXC318PcHbKgUDikDbKhtSRJD5y95WNVn,2015-04-13 07:35:41,351904,2015-09-28 18:51:17,376550,168 days 11:15:36.000000000
17,19CnZ9mFZR3DkHWVtUVJwNMj5q7AGD2Pct,2015-04-13 15:33:51,351962,2015-10-30 20:10:59,381290,200 days 04:37:08.000000000
18,18qNcSA3hNdB7iZUWFmJMKe945iWio6jfB,2015-04-15 04:22:03,352182,2015-11-26 16:07:16,385460,225 days 11:45:13.000000000
19,16REtGSobiQZoprFnXZBR2mSWvRyUSJ3ag,2015-04-24 14:32:24,353509,2015-09-23 09:57:37,375752,151 days 19:25:13.000000000
20,183Z9tCZfQ6RpK65jxPP38hHagaapRRPHy,2015-05-08 09:25:59,355494,2015-09-12 13:51:09,374192,127 days 04:25:10.000000000
21,1Pf9qGkbLr7bf8PL2JjDmb2v2awogs35iy,2015-05-18 22:40:32,357050,2015-09-23 09:57:37,375752,127 days 11:17:05.000000000
22,1BRP7QhmJpsj6ULjMazkJVFQrLnaLwM4aD,2015-05-20 11:45:59,357251,2015-11-09 13:12:01,382745,173 days 01:26:02.000000000
23,1MH2zq6Ja4G1ZhW2w9mxbxLUS1AZtDpnx7,2015-05-21 18:38:44,357453,2015-09-12 13:51:09,374192,113 days 19:12:25.000000000
24,19Kgcn7UScRFVPXPDERmXCsdQ8rkPLMXGz,2015-05-22 11:27:02,357545,2015-11-09 13:33:39,382746,171 days 02:06:37.000000000
25,1QGbBNpnjdhELzebPKfpHSuRBkTrbdjixZ,2015-05-22 16:01:35,357576,2015-09-12 13:51:09,374192,112 days 21:49:34.000000000
26,18efZrictKLdA9qM8U4WXbCRx3KMqtPsBm,2015-05-22 16:46:00,357580,2015-09-18 15:55:14,375097,118 days 23:09:14.000000000
27,17J67VjL9p6432jmizVaesintuno12pkSD,2015-05-26 07:09:05,358070,2015-11-09 13:12:01,382745,167 days 06:02:56.000000000
28,1HHAayDHW2UamYX9dHCS5nRvbqb6YhVF3B,2015-05-26 07:45:03,358076,2015-09-12 13:51:09,374192,109 days 06:06:06.000000000
29,13ocGN5ZimwNx6S8QhP6miaSJmecME4eLY,2015-05-27 20:49:02,358289,2015-10-23 12:02:27,380181,148 days 15:13:25.000000000
30,1DsJtxVtugCtnjj4XfpKSPHHrhVaiZbiyq,2015-05-28 21:43:15,358431,2015-09-24 14:01:32,375920,118 days 16:18:17.000000000
31,1MawPRCamqpKL1bsbZxYExCNJcW7xmA8S2,2015-05-30 16:29:51,358682,2015-09-12 13:51:09,374192,104 days 21:21:18.000000000
32,1FQG7XtaQVTBBNPxwsRfBZDVv7jk8xPntm,2015-06-04 00:17:05,359305,2015-09-23 09:57:37,375752,111 days 09:40:32.000000000
33,1JmNTNxJgeJS7NhFdbt4VGUpg5JjqYDUyV,2015-06-04 21:56:40,359428,2015-10-30 20:10:59,381290,147 days 22:14:19.000000000
34,17wyt3zjTiNDUWMpyLXV5HNTosN4QMXFtJ,2015-06-09 01:14:04,360071,2015-09-12 13:51:09,374192,95 days 12:37:05.000000000
35,13368K9rkNFpBgtXCj1FFigBFA3gnqsLWi,2015-06-09 02:45:37,360082,2015-11-16 20:26:32,383900,160 days 17:40:55.000000000
36,17jEuRmwJuNuhDeuXVWbkTFLM7yhBb6rKY,2015-06-09 17:44:16,360182,2015-09-23 09:57:37,375752,105 days 16:13:21.000000000
37,1K7ryb9XbND1S7dB2nyLpe7BUaLbs9qkN,2015-06-09 20:53:19,360195,2015-09-23 09:57:37,375752,105 days 13:04:18.000000000
38,159nCZxdyjseGvsrB3Tpdf3Zw465FW9rgw,2015-06-10 10:46:56,360288,2015-06-30 22:46:59,363255,20 days 12:00:03.000000000
39,19aX5fYWpeR1pA4CMWqFCE848BJqGdPb28,2015-06-10 15:16:32,360320,2015-09-23 09:57:37,375752,104 days 18:41:05.000000000
40,1Fg8LgZP9hVLmKQxDLDmBB7Yfz47NKq2GY,2015-06-10 15:37:44,360321,2015-10-07 11:21:16,377852,118 days 19:43:32.000000000
41,1GZBzkFBYs2ZTzu8VZpHyfdN1niJoZT4q1,2015-06-10 16:02:29,360323,2015-10-20 13:00:15,379747,131 days 20:57:46.000000000
42,1HBpTkcWfWxeg6VBrF3JPCDyrsLcbRuxzQ,2015-06-10 21:36:35,360363,2015-09-12 13:51:09,374192,93 days 16:14:34.000000000
43,1KUsPiPSqprvsogN5emKaGBFHsEiXi6bbw,2015-06-10 21:44:26,360364,2015-09-23 09:57:37,375752,104 days 12:13:11.000000000
44,12MthFGsBtMvX9VqCdBkxTnDSqGFGLkg8J,2015-06-10 22:41:36,360372,2015-09-30 11:12:52,376830,111 days 12:31:16.000000000
45,1oekZxbDt511Fc8qB2eiByApR51kUrm9y,2015-06-11 15:05:18,360480,2015-09-12 13:51:09,374192,92 days 22:45:51.000000000
46,1CmtierHqkBpijoZT6NFJNwoSM57GdwdeG,2015-06-11 16:50:22,360488,2015-09-28 18:51:17,376550,109 days 02:00:55.000000000
47,1CACwwuVjy5sYqVLt3bnb3VrBvCbwJTErD,2015-06-11 17:01:31,360489,2015-10-26 12:31:10,380635,136 days 19:29:39.000000000
48,18Z8VZq2XH6U7TKhAHvFnprZ6ym8MR6m7q,2015-06-11 18:49:22,360501,2015-09-23 09:57:37,375752,103 days 15:08:15.000000000
49,1GXUGJBFEtaabBABmPtUrH1k6E3NHZM3Dt,2015-06-11 19:20:42,360502,2015-11-02 13:06:39,381701,143 days 17:45:57.000000000
50,17uighmpEh1BjMXCK1DkgHV7tXeoHjvKga,2015-06-11 20:14:09,360505,2015-09-12 13:51:09,374192,92 days 17:37:00.000000000
51,1671hqBLud6WExS8oc6EjfXACE19xrYrr8,2015-06-11 20:44:03,360507,2015-10-27 23:14:38,380858,138 days 02:30:35.000000000
